rights  


RoleTable
---------
Name                        ACL  Bandwidth                                                          ACL List                                                                                                                                                                                              Type
logon                       2    Up: No Limit,Dn: No Limit                                          ra-guard/,logon-control/,captiveportal/,vpnlogon/,v6-logon-control/,captiveportal6/                                                                                                                   User
onguard-redirect            148  Up: No Limit,Dn: No Limit                                          OnGuard-Redirect_list_operations/,global-sacl/,apprf-onguard-redirect-sacl/,allow-CPPM/,logon-control/,captiveportal/                                                                                 User
rap-auth-guest              159  Up: Guest-BW-20M (per role),Dn: Guest-BW-20M (per role)            global-sacl/,apprf-rap-auth-guest-sacl/,guest-logon-acl/,deny-mDNS-acl/,allowall/,allow-guest-internal-acl/,deny-guest-internal-acl/,drop-and-log-acl/,auth-guest-acl/                                User
rap_role                    134  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-rap_role-sacl/,rap_policy/                                                                                                                                                         User
stateful-dot1x              7    Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-stateful-dot1x-sacl/                                                                                                                                                               System
sys-ap-role                 11   Up: No Limit,Dn: No Limit                                          sys-control/,sys-ap-acl/                                                                                                                                                                              System (not editable)
voice                       143  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-voice-sacl/,ra-guard/,sip-acl/,noe-acl/,svp-acl/,vocera-acl/,skinny-acl/,h323-acl/,dhcp-acl/,tftp-acl/,dns-acl/,icmp-acl/                                                          User

Total Roles:57

